rec_id, culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number, family_role
rec-7331-org,   ind, f, 26, 19920719, , finn, uppal, qld, glenrock, 2540, 7, crook place, , 613 03090376, 9941495, 6, NoRole
rec-3707-org,   chi, m, , 19690216, ms, jacinta, chyau, qld, aldoga, 4154, 18, hillebrand street, , 03 86883444, 1039802, 1, NoRole
rec-9863-org,   usa, f, 36, , , alexander, owens, qld, cullinane, 5087, , emerton street, , 03 45501485, 4293352, 3, NoRole
rec-5432-org,   eng, m, 41, 19770502, , charles, jepson, nsw, kellyville, 3002, 29, kellick place, , 612 93332340, 5136200, 9, NoRole
rec-8526-org,   eng, f, , 19120225, dr, jasmin, ethanson, , highgate, 2480, 101, , st john of god hospital, 08 88942482, 4148584, 4, NoRole
rec-7624-org,   fre, f, 21, 19970527, ms, madalyn, gottignie, , loganholme, 2517, 6, rivett street, , 07 81839234, 6396645, 1, NoRole
rec-2292-org,   iri, , 11, 20070528, dr, lucy, maccarthy, , hinchinbrook, 3331, 22, paloona place, , 02 46758787, 5756292, 0, NoRole
rec-4319-dup-1, ger, f, 2 , 19970608, , dyla n, eic h, q1d, carrandotta, 2029, 7  , , , 04892 0387, 4785098, 9, NoRole
rec-8804-org,   usa, f, , , dr, caitlin, gordon, vic, ripplebrook, 3350, 36, bowling place, , , 8575230, 3, NoRole
rec-1437-org,   unk, f, 12, 20060630, mr, emma, scirri, nsw, west bathurst, 7250, 39, avery place, st francis village, 612 09189437, 6675488, 2, NoRole
rec-3918-org,   ara, f, 28, 19901030, ms, keziah, sabeen, wa, south stirling, 2400, 6, somerset street, , 04 26174794, 3616504, 9, NoRole
rec-7906-org,   cze, m, 39, 19790208, , alison, boliek, nsw, new lambton, 2540, 4, william hudson crescent, sovereign court, 2 67783864, 4191498, 6, NoRole
rec-4894-dup-0, ind, f, 28, 19900413, , oscar, mercnrella, nsw, pottsville, 2333, 9, andamooka street, , 02 14720365, 8757279, 3, NoRole
rec-3845-org,   unk, f, 19, 19990329, , emiily, aarts, vic, bambra, 4068, 29, tambo street, midlands terrace, 618 39230765, 8707915, 9, NoRole
rec-4951-org,   afg, f, 24, 19940614, , , bitani, vic, aspendale gardens, 4740, 44, burkitt street, flr 8, 08 72136519, 6515254, 4, NoRole
rec-6107-dup-0, dut, f, 20, 19980921, mr, ben, staes, nsw, ashley, 5025, 48, alexandrttreet, , 03 61692683, 7934907, 4, NoRole
rec-8118-dup-2, ind, , 2 , 19951 9, ms, kay e, smir ti, vic, tuerong, 3937, 9, affleck place, , 8 41219 40, 600 398, 4, NoRole
rec-8745-org,   ser, , , 19340712, ms, magnus, privsek, nsw, berwick, 5067, 62, earle street, , 612 71915479, 4893584, 5, NoRole
rec-7578-org,   vie, m, 23, 19951103, sgt, joshua, kieu, qld, mount coolum, 4074, 24, lodder place, sanctuary vlge, 03 96674630, 1043279, 7, NoRole
rec-4115-org,   eng, , , 19031103, mr, alexandra, cristiansen, qld, cairns north, 3977, 36, hodgson crescent, hse 139, 3 47343157, 2355882, 2, NoRole
rec-4403-org,   ind, f, 31, 19871005, , elijah, kripa, qld, hail creek, 2066, 4, nungara street, , 613 78434205, 6617768, 2, NoRole
rec-7434-org,   wel, f, 12, 20060121, ms, emma, baughan, qld, edithvale, 2560, 41, barron street, , 03 17404332, 8227132, 5, NoRole
rec-9747-org,   ina, f, 13, 20050724, mr, liam, wibowo, wa, holyoake, 2209, 12, corranderk street, , , 8648289, 7, NoRole
rec-5377-dup-2, chi, c, 23, , hon, , ran, qod, lyth, 2340, 25, haswell place, , 03 77607949, 1456969, 6, NoRole
rec-5347-org,   chi, f, , 19990804, , georgia, shang, qld, coppabella, 4811, 9, dalyell street, , , 6356647, 9, NoRole
rec-3091-org,   chi, , 37, 19810216, ms, , shao, tas, goodwood, 2145, 21, ennor crescent, , 07 54222131, 3592702, 4, NoRole
rec-6530-dup-0, chi, f, 3 7, 198 1011, , ashlee, ji ng, , canterbury, 4114, 200, cygnetcr   cent, , O4476 2248, 5251082, 8, NoRole
rec-6809-org,   usa, m, 30, 19881025, mr, joel, dixon, vic, gerang gerung, 2350, 16, stace place, millbay, 618 73339409, 6036533, 8, NoRole
rec-6629-org,   ind, f, 8, 20100730, pfc, madeline, subram, wa, bokal, 6062, 13, edmond close, , 08 86777866, 7077715, 6, NoRole
rec-6435-org,   ger, f, 28, 19900610, , ethan, laberenz, tas, lapoinya, 4503, 3, marr street, , 617 13332150, 7038523, 6, NoRole
rec-6423-dup-0, unk, v, 30, 19880823, , zoua, ztkkel, vic, baaunah paahk, 4306, 18, wandham place, wilgee, 8 74913468, 4129715, 7, NoRole
rec-9900-dup-1, chi, f, 39, 19791126, pfc, cckyle, zhu, vic, zan juc, 4817, 58, alsop close, rojetta fillage, , 1935506, 9, NoRole
rec-3634-dup-0, eng, f, z , 19890331, ms, dakot, win fild, ns , lalo r park, 4285, 6|, flinders way, , 2 71020575, 9845581, 9, NoRole
rec-9919-org,   eng, f, 30, 19880904, ms, mila, badcock, qld, preston, 2267, 7, reader court, , 3 05141491, 3047784, 2, NoRole
rec-1991-org,   ita, f, 31, 19871231, , alice, batticelli, nt, marlow lagoon, 2153, 2, samia place, brentwood vlge, 3 29694930, 3660227, 0, NoRole
rec-3367-org,   usa, , , 19640206, , jenna, washington, qld, wyandra, 2450, 9, casey crescent, , 04 33415828, 3005760, 3, NoRole
rec-9896-org,   chi, , 29, , pfc, amber, pok, vic, jacana, 2261, 67, araluen street, , 618 51547683, 1339543, 3, NoRole
rec-386-org,   vie, f, 24, 19940619, , , nguyenkhoa, qld, hamilton island, 5127, 34, hope street, , 03 86278707, 4031817, 8, NoRole
rec-329-dup-0, ind, f, 28, 19918625, , tabitha, visvajit, wa, mount clarence, 2000, 25, geehi place, , 07 05463353, 3969075, 2, NoRole
rec-3655-org,   unk, f, 26, 19920504, , samara, aani, , port macquarie, 2869, 27, , , , 7503621, 0, NoRole
rec-6147-org,   chi, f, 40, 19780814, , kelsye, miu, nsw, drummoyne, 4746, 40, leven street, , 2 03590293, 8990719, 6, NoRole
rec-7604-org,   eng, f, 37, , ms, mia, bennet, tas, lower longley, 5032, 8, , , 07 15906520, 7226576, 2, NoRole
rec-8022-dup-0, usa, , 26, 19922013, mr, robert, ausn, nsw, dunbogan, 3169, 50, homburg dureet, , 02 86659939, 2426334, 4, NoRole
rec-9094-org,   swe, f, 30, 19880713, , emiily, steffensen, vic, red bluff, 3205, 1122, heath place, , 8 21014208, 1315038, 9, NoRole
rec-7483-dup-0, nor, f, 8, 19900112, m , oIi ia, njerv e, s , point turton, 229 2, 122, welchplace, , 7 53544701, 86820 5, 0, NoRole
rec-7534-org,   chi, f, 28, , mr, chevonne, kuk, nsw, frederickton, 4882, 342, jaeger circuit, , 2 22112194, 9756606, 7, NoRole
rec-4891-org,   jap, , 37, 19810505, , olivia, masoni, , crafers, 5110, 67, boult place, , 03 83421009, 5026931, 9, NoRole
rec-575-org,   ind, f, 19, 19990215, , jack, parameswaran, wa, hocking, , 7, magenta square, , 618 51528873, 8599278, 1, NoRole
rec-6130-org,   eng, f, 32, 19860221, ms, latham, goffe, vic, kilcunda, 6028, 18, max henry crescent, , 8 39064004, 4771504, 2, NoRole
rec-9585-org,   usa, f, 35, 19830428, , kynan, elliott, nsw, wakefield, 3219, 34, dominion circuit, waters vale, 07 27143123, 3231321, 1, NoRole
rec-4925-org,   chi, f, 34, 19840916, pfc, portia, hang, vic, dennington, 2232, 1, knights road, , 8 16409491, 4534568, 6, NoRole
rec-4720-org,   ind, f, 29, 19890510, , zachary, manikkalingam, vic, regent west, 2166, 55, bauhinia street, , 08 80981026, 8819339, 9, NoRole
rec-8078-org,   usa, , 30, 19880306, mr, tyler, aguirre, nsw, vittoria, 4108, 21, whitty crescent, , 612 66373251, 4635019, 7, NoRole
rec-8463-org,   eng, f, 32, 19860528, , amber, scrivens, qld, whitsundays, 3670, 6, coghlan street, moline village, 03 08856909, 4704457, 6, NoRole
rec-7616-dup-1, usa, , 10, , , nicholas, ca5tr 0, tas, north l  ydale, 480 , 8 , hopetounc rcuit, , , 1559 48, 6, NoRole
rec-8766-org,   hun, f, 35, 19830621, , lily, solymosi, qld, monsildale, 2122, 99, croton street, , 613 87561960, 1055607, 4, NoRole
rec-7600-dup-1, eng, g, , 19490211, mr, , banister, nsw, bundalbah, 2170, 6, beckeholace, , 03 16046299, 8923824, 0, NoRole
rec-8490-org,   eng, f, 26, 19921022, ms, angus, christinsen, nsw, denman, 5271, 23, , , 2 65498228, 8959062, 5, NoRole
rec-6957-dup-0, ind, f, 30, 19880916, , flynn, ilango, wa, bremeray, 4721, 48, graysomdsrweet, kurrajong, 03 64528613, 2694404, 7, NoRole
rec-8392-org,   unk, f, , 19871221, , zane, streckfuss, nsw, hectorville, 2030, 5, boote street, tarwong, , 7726004, 8, NoRole
rec-593-dup-2, usa, , 37, 19820402, dr, jaude n, everntt, qld, childers, 3037, 1271, , , 3 34992114, 6148327, 2, NoRole
rec-700-dup-0, eng, f, , , ms, niamh, davison, a, urrrbae, 6450, 79, halifaxclose, , 7 25749340, 3683987, 0, NoRole
rec-1482-org,   ser, , 32, 19860423, , robbie, petranovic, , toukley, 2525, 12, woodgate street, , 02 69006638, 8692092, 6, NoRole
rec-4370-dup-0, ina, f, 31, , ms, sokd, siregar, nsw, kearsey, 6353, 27, boolee street, , 02 82047312, 3909022, 6, NoRole
rec-1552-org,   unk, , 34, 19840602, ms, gus, scofield, vic, lillimur, 2820, 30, ross smith crescent, , 02 48824564, 7525549, 9, NoRole
rec-1606-org,   spa, , , 19170716, mr, lily, montt, nsw, tea tree gully, 4121, 35, eyre street, ocean breeze, 612 47850602, 9251471, 0, NoRole
rec-758-org,   ind, , 11, 20070908, ms, kelsey, bhagyamma, vic, caulfield east, 5118, 5, mulder place, glenlee, 08 80171129, 6087662, 8, NoRole
rec-6353-org,   eng, f, 29, 19890101, mr, kristen, morriss, wa, rossmoyne, 4701, 52, harcourt street, , 08 24591396, 5987034, 8, NoRole
rec-7764-org,   unk, , , 19420625, , isaac, sclater, vic, st kilda road, 3124, 4, burdett crescent, aptmn 12, 618 07570397, 6830342, 0, NoRole
rec-2829-org,   usa, f, , 19911205, , jayden, mckay, vic, tankerton, 5097, 3, , , 8 47022885, 9368826, 5, NoRole
rec-2251-dup-1, eng, f, 21, 19970112, , kira, grang er, qld, shute ha rbour, 320 , 3q, uriarr    oad, wellw ood, 613 31546212, 4107854, 7, NoRole
rec-270-org,   unk, f, 32, 19860814, pfc, lucas, strainij, nsw, yattalunga, 4005, 2, burdekin avenue, , 2 14419567, 2004057, 3, NoRole
rec-2185-org,   ger, f, 35, 19830722, , joshua, eifert, nsw, north rothbury, 3690, 82, magrath crescent, tallulah, 07 38051023, 4345482, 2, NoRole
rec-73-org,   unk, , , 19240912, ms, madeleine, abadi, vic, durham lead, 2680, 48, tarrabool street, , 618 20206682, 3024697, 7, NoRole
rec-2114-org,   ina, m, 27, 19910817, , sophie, gunawan, wa, northam, 4051, 19, namatjira drive, cladagh cottage, 07 12913652, 6318117, 6, NoRole
rec-6965-org,   eng, f, 27, 19910919, pfc, abbey, sergeant, vic, donald, 2444, 249, biddell place, retirement village, 08 27370106, 4073334, 0, NoRole
rec-3223-dup-2, usa, v, 22, 19960318, , arlejtt, hart, nsw, ztt albans, 2045, 11, woolls street, loisa toah 4, 02 10960084, 7014129, 7, NoRole
rec-4539-org,   ger, , 29, 19891216, , liam, sachs, vic, axedale, 4220, 35, araluen street, , 618 55648387, 6425822, 5, NoRole
rec-511-dup-0, dut, , 20, 19980910, ms, joshua, vanacker, vic, yagolma, 2137, 95, , , 08 27081168, 6431761, 6, NoRole
rec-2936-org,   eng, f, 31, 19871126, , ebony, macgregor, sa, darke peak, 4214, 5, montagu place, , 7 34892188, 5319161, 4, NoRole
rec-34-org,   usa, f, 30, 19880708, , grace, sims, qld, iredale, 2611, 75, weddin circuit, tintagel, 613 65084023, 6713910, 3, NoRole
rec-5589-org,   unk, , 35, 19830309, , harrison, aani, nsw, braidwood, 2320, 33, hobler place, , , 3166460, 8, NoRole
rec-1785-dup-1, eng, , 31, 19879621, , jessica, arthurson, vic, millbl rk, 2577, 3, lindsay sfreet, ngarigo, 618 78191346, 4875278, 5, NoRole
rec-1804-org,   unk, , 32, 19860929, , scott, aarts, nsw, macquarie hills, 3888, 54, ferguson circuit, brandywine stud, 02 15669094, 9619664, 0, NoRole
rec-6073-dup-0, iri, f, 35, 19830407, , ril y, quirke, qld, elli  t, 6018, 71, dethri dg e street, , 0371857074, 148  81, 9, NoRole
rec-9200-dup-1, unk, y, 29, 19890810, , isavdla, scolastique, act, pearce, 2650, 4, shepherdsnm place, , 04 23102246, 6559932, 4, NoRole
rec-6535-dup-1, ina, m, 26, 19920713, , , kunawan, qlt, poahmpuraah, 2315, 20, maahtens kresent, vl 3, 3 36804022, 6865869, 0, NoRole
rec-8562-org,   usa, m, 26, 19920410, , justin, , tas, sisters creek, 3068, 111, lewin street, , 7 07046821, 2842213, 7, NoRole
rec-4413-org,   usa, f, 20, 19981201, , jed, flynn, , gwynneville, 2122, 10, waddell place, south 5, 02 26991768, 8722420, 2, NoRole
rec-7759-dup-1, usa, , 26, 19910429, , dr e, wooe, qld, loclart, 4214, 27, andrew crescent, , 02 82625242, 5801913, 9, NoRole
rec-3878-dup-1, cze, , 31, 198706 14, , hary, pru t, nsw, bayview heights, 315 , 1, Iaseron place, eagleview, 612 7 918143, 25 7457, 6, NoRole
rec-6097-org,   usa, , 30, 19881011, , chelsea, winters, qld, gigoomgan, 2145, 37, picton close, , 613 49608227, 1484612, 4, NoRole
rec-6416-dup-0, chi, f, 29, 198911 9, mr, ta ma, cen, ns , duran  h, 5271, 1 , lachlanstreet, , , 7158 31, 4, NoRole
rec-3068-org,   usa, m, 32, 19860506, , holly, miller, qld, kalpowar, 7053, 7, alleyne close, , 3 24260975, 7282754, 6, NoRole
rec-7865-org,   eng, , 20, 19980128, mr, nathan, goode, sa, stockport, 2460, 156, haines street, , 07 30661300, 6888865, 6, NoRole
rec-8082-dup-0, tur, f, 27, 19911026, mr, braeton, dantsel, sa, hwthoahn, 6535, 142, fokarty place, ballainna stud, 617 77824811, 7727513, 6, NoRole
rec-6889-dup-0, unk, m, 32, 198607 4, , joel, sc0rsone, nsw, cabramurra, 500, 2 , leichhar d  street, , 612q9 020100, 2091639, 3, NoRole
rec-3276-dup-0, chi, v, 26, 19921217, , ckalep, donk, nzw, kulpa, 3122, 38, walton street, , 07 13763097, 5195222, 8, NoRole
rec-7350-org,   spa, m, 8, 20100701, mr, kiera, pealves, nsw, clarendon, 5019, 11, morgan crescent, , 2 94128427, 8894001, 7, NoRole
rec-4717-dup-0, por, f,  2, 19861019, , ty, rodri ues, nsw, khancoban, 223 , 2 7, beasIeys   reet, harpersbridge, 612 13738035, 1246798, 8, NoRole
rec-2706-org,   usa, f, 34, 19841106, ms, olivia, rush, act, charnwood, 0886, 29, counsel street, , 2 55273176, 7813049, 6, NoRole
rec-960-dup-0, ind, , 33, 19850203, , jahvd, ravne, , jolimont, 4405, 992, julia flynn avenue, , 03 23739709, 3656539, 6, NoRole
rec-349-org,   eng, f, 26, 19920208, , benjamin, espenson, qld, palmwoods, 3925, 14, kellick place, bangor centre, 3 52169670, 9147624, 8, NoRole
rec-4624-org,   unk, , 8, 20100116, ms, jamie, , wa, north boyanup, 2088, 74, basedow street, , 08 68729082, 3779902, 1, NoRole
rec-9805-org,   usa, f, 29, 19891007, ms, natalia, , nsw, marulan, 2780, 43, copland drive, , 2 93915113, 3845004, 9, NoRole
rec-5575-org,   chi, f, 13, 20050620, mr, toby, niu, act, russell, 2652, 35, golden grove, , 02 44804681, 5560921, 3, NoRole
rec-2046-org,   ind, m, 32, 19861219, ms, corie, hingorani, qld, grand secret, 3146, 44, brady place, , 613 38870555, 3208281, 7, NoRole
rec-7605-dup-0, ger, f, 23, 19951120, , , fogle, nsw, springfield, 4060, 30, blackwoodetrrace, , 2 56555856, 7731588, 3, NoRole
rec-5426-dup-0, eng, f, 37, 19811220, , jack, harrelson, vic, lockwoeksouth, 3138, 58, torrens street, , 618 99803014, 6882246, 9, NoRole
rec-9815-dup-2, usa, m, 26, 19750527, , , kin g, nsv, grassmere, 4152, 7, davenport street, villa 3, 8 95657866, 7697314, 4, NoRole
rec-9003-org,   unk, f, , 19420317, , sarah, strawbridge, nsw, spring ridge, 4300, 5, goulburn street, , 612 84575495, 4288401, 3, NoRole
rec-8323-dup-0, tha, f, , 19340816, , lily, klinpraneet, nsw, , 5158, 8, mansfieos d place, , 612 02866906, 8483179, 9, NoRole
rec-6238-org,   unk, f, 38, 19800530, , kane, scjum, nsw, stanmore, 6019, 14, hyndes crescent, , , 9378358, 7, NoRole
rec-6831-org,   rom, m, 32, , dr, hannah, mihalcea, vic, urangan, 5108, 85, canopus crescent, , 618 11937478, 3866357, 6, NoRole
rec-1264-org,   unk, f, 27, , , kaitlyn, aballon, vic, breakwater, 2223, 74, fullagar crescent, , 618 44001428, 7505477, 7, NoRole
rec-688-org,   chi, f, 32, 19860702, ms, zachary, ngai, qld, steiglitz, 3127, 24, jerrabomberra avenue, , 3 16679396, 7494564, 0, NoRole
rec-8678-dup-0, usa, , , 19920522, dr, kristopher, jenkins, nsw, bellimvopinni, 6285, 327, baddeley crescent, , 02 08105334, 3363558, 8, NoRole
rec-9704-org,   usa, m, 26, 19921209, mr, erin, huber, vic, lake mundi, 3766, 36, leibnitz place, bingletree, , 5799426, 8, NoRole
rec-92-dup-0, usa, f, 39, 19791 107, mr, rosa, mathe ws, vic, tecorna, 57 o0, 25, albermarle lace, , 618 86251607, 329 4 6 38, 9, NoRole
rec-4467-dup-0, usa, f, , 19181003, , samantha, price, ws, stenhouse bay, 2360, 2372, burkitt street, binda gaorden, 07 98735115, 2113260, 1, NoRole
rec-1715-dup-1, usa, f, 26, 19920706, mr, saccke, paahtlet, a, bulleah, 2760, 24, fo plase, , 618 24213633, 5324422, 9, NoRole
rec-1013-org,   eng, f, 24, 19940326, ms, isabella, quincey, sa, walkerville, 2428, 3, kirkton street, rosehill, 617 11989358, 4043996, 1, NoRole
rec-8686-org,   ger, f, 22, 19960506, , kasey, pilsner, nsw, wambool, 2029, 38, kootingal street, , 612 26843970, 7185973, 3, NoRole
rec-6698-org,   chi, f, 10, 20080516, , thomas, jing, nsw, balmoral village, 6073, 12, spiers place, buderim private hospital, 02 58170314, 7667499, 6, NoRole
rec-1350-org,   tha, f, 27, , , riley, prinya, vic, moonambel, 3978, 16, fanning place, donna valley, 08 13116785, 7036868, 3, NoRole
rec-1389-org,   usa, f, 21, 19970827, , koula, petty, nsw, bossley park, 4161, 8, faucett street, locn 449, 02 32246278, 2021543, 5, NoRole
rec-5016-org,   eng, f, 30, 19880210, sgt, jessica, marchand, qld, wieambilla, 2318, 22, angles court, , 03 93692716, 7016714, 7, NoRole
rec-7418-dup-0, unk, f, 32, 19860 05, ms, bridget, aa r c, vi , wand: n  orth, 3250, 5, jauncey court, , 08072 10435, 7852294, 6, NoRole
rec-795-org,   usa, f, , 19200507, mr, luke, harrell, vic, bell park, 2710, 7, staaten crescent, , 08 27170202, 2119042, 8, NoRole
rec-7016-org,   eng, , 30, 19881002, , jessica, archer, sa, redwood park, 5108, 5271, heard street, , 617 37082612, 7598652, 7, NoRole
rec-3054-org,   abo, f, 25, 19930908, , emma, , nsw, , 6016, 1, hawkesbury crescent, , 612 95109535, 1810371, 2, NoRole
rec-8161-org,   chi, m, , 19811126, ms, noah, hsing, sa, auldana, 3166, 57, de salis street, athlone, 617 48866577, 2071106, 3, NoRole
rec-3176-org,   sri, f, 28, , dr, leo, yatawara, qld, maribyrnong, 2540, 19, monaro crescent, myliton, 613 82782286, 1960389, 1, NoRole
rec-8525-org,   ser, f, 26, 19920304, ms, blake, siprak, sa, , 2289, 1, westbury circuit, , 07 26128694, 8142933, 7, NoRole
rec-7437-dup-0, hun, f, 2 , 19951 11 4, ms, madeJeine, on odi, vi , acheron, 2780, 1  , mirning  rescent, rainbow ridge, 8 52485886, Z012021, 6, NoRole
rec-6991-org,   ind, f, 29, 19891122, , , surekha, nsw, boonoo boonoo, 2200, 64, hawkins close, , 02 38231518, 5323871, 6, NoRole
rec-8971-org,   usa, , 24, 19940421, , brooke, barker, qld, edge hill, 6151, 72, goyder street, upper ross medical centre, 02 87137167, 6018110, 2, NoRole
rec-2636-dup-1, vie, f,   , 199310 22, , kobe, tr a n, ql , gunyarra, 6112, 1, barnet t close, , , 4514139, 6, NoRole
rec-3224-org,   eng, m, 8, 20100715, , alicia, cocks, qld, bluewater park, 6232, 67, bailes court, kingway tourist park, 03 43225908, 6569771, 0, NoRole
rec-5844-dup-0, eng, f, 34, 19808923, , , haroldson, , baddaginnie, 3991, 24, altairplace, , 8 69314630, 4780122, 6, NoRole
rec-5548-org,   chi, f, , 19201210, , kathleen, bian, , swan hill, 4069, 11, tully street, , 07 57237344, 8201680, 1, NoRole
rec-5903-org,   unk, f, 29, , , hugo, sclater, sa, uleybury, 2286, 29, brophy street, , 617 25502203, 8972853, 7, NoRole
rec-7608-org,   eng, f, , 19221226, , jacqueline, clemens, vic, seymour, 4051, 511, marcus clarke street, , 8 98092275, 6748738, 4, NoRole
rec-4960-org,   usa, f, , 19060127, mr, renee, garner, nsw, valley heights, 4724, 4, tinderry circuit, garden settlement, 02 66868734, 2291500, 4, NoRole
rec-5449-org,   usa, , 19, 19990610, , rebekah, turner, nsw, gilgai, 5014, 3, mckinlay street, kangaroo grnd, 612 48242995, 6986202, 1, NoRole
rec-3140-org,   cze, f, , 19380909, , lewis, durocsinszky, , redbank plains, 7051, 24, aston crescent, , 02 18915877, 9451921, 5, NoRole
rec-830-dup-1, nor, m, 2 , , , thona , njerve, qld, east b  ron, 3083, z2, dayi s treet, , 613 85709946, 7241036, 8, NoRole
rec-916-org,   ina, f, 29, 19891021, , crystal, siregar, vic, greenacre, 2605, 33, lampard circuit, emerald garden, 8 14287655, 6545587, 0, NoRole
rec-1829-org,   chi, m, 33, 19851211, , logan, hsiung, nsw, camden, 2444, 15, goyder street, learning earth farm, 612 87443314, 3660253, 0, NoRole
rec-2803-dup-0, eng, f, 3 , 198610 29, , samue , walmsl y, q d, elliott heads, 20 7, 2 , a'beckett  treet, wilderness, 02 12541227, 2168234, 8, NoRole
rec-1854-org,   abo, m, 32, 19861029, ms, emma, munyarryun, qld, doomadgee, 2487, 65, dalrymple street, , 613 06834463, 2559046, 6, NoRole
